Tabel 1. Daftar Inventarisasi Peralatan dan Bahan Laboratorium,,,,,,,,,,
,,,,,,,,,,
,DAFTAR NAMA ALAT LABORATORIUM,,,,,,,,,
,SMA NEGERI 1 PINRANG,,,,,,,,,
,TAHUN PELAJARAN 2026 - 2027,,,,,,,,,
,,,,,,,,,,
,A. ALAT DARI BAHAN KACA,,,,,,,,,
,1. Berskala,,,,,,,,,
,NOMOR,KODE,NAMA PERALATAN,SPESIFIKASI,SUMBER DANA,JUMLAH,,Lokasi Penyimpanan,,
,,,,,,BAIK,RUSAK,Lab,Gud,Lem
,28,,Jarum Spoit,Spoit Kaca,A,19, -, -, -,Lemari 9/2
,29,KA 31,Crucible,Cawang10 mm,A,2, -, -, -,Lemari 9/2
,30,,Timbangan Digital,KD 200,D,1, -, -, -,Lemari 9/2
,31,,Stan Baterai,2 Baterai,A,14, -, -, -,Lemari 9/3
,32,,Stan Baterai,4 Baterai,"C,D",6, -, -, -,Lemari 9/3
,33,,Kabel Penghubung,30 cm,"A,B",11,11, -, -,Lemari 9/3
,34,KST 34,Klem Buret,Ganda,D,4, -, -, -,Lemari 9/3
,35,KST 34,Klem Universal,Tunggal,"A,B",8,6, -, -,Lemari 9/3
,36,,Auksanometer ,Kecil,C,1,-, -, -,Lemari 9/3
,37,KSM 19,Sumbat Karet,2 lbg 35/27,D,4, -, -, -,Lemari 9/3
,38,KSM 8.06,Alat pelubang gabus ,Set,C,7,-, -, -,Lemari 9/4
,39,KSM 10,Pengasah pelubang gabus ,Set,C,6,-, -, -,Lemari 9/4
,40,KTA 100,Alat pemusing ,Set,C/D,2,-, -, -,Lemari 9/4
,41,BPB 01,Pinset,Alat  Bedah,"D,F",27, -, -, -,Lemari 9/4
,42,,Gunting Bedah,Lurus Ujung Lancip,"D,F",4, -, -, -,Lemari 9/4
,43,,Blood lancet ,Dos ,C,2,-, -, -,Lemari 9/4
,44,,Blood lancet otomatis,Buah,"C,D",6,-, -, -,Lemari 9/4
,45,,Slaid ,Dos ,A,2,-, -, -,Lemari 9/4
,46,,Tangkai Skalpel,No 3,"D,F",14, -, -, -,Lemari 9/4
,47,BMK 78,Hard mikrotom,Sederhana,B/C,9,-, -, -,Lemari 9/4
,48,,Pisau Bedah,Alat Bedah,"A,D",10,8, -, -,Lemari 9/5
,49,BPB 40.001,Perangkat alat bedah,Set ,"A,B",12,2, -, -,Lemari 9/5
,50,,Neraca Ohauz ,311 gr,"A,B,D",7, -, -, -,Atas Lemari 9
,51,,Mikroskop Elektron,XSZ-107BN,E,1,-, -, -,Lemari 10
,52,BPG 67,Akuarium ,30x20x20,C,3,-,Di luar Lemari , -, -
,53,BPG 67/02-75,Akuarium plexy glass,60x30x32,C,1,-,Di luar Lemari , -, -
,54,,Alat Pemadam,Penyemprot,"A,D",3, -,Di luar Lemari , -, -
,55,,Kompor Hook,22 sumbu,D,2,-,Di luar Lemari , -, -
,56,,Panci ( dandang) ,5 liter,D,2,-,Di luar Lemari , -, -
,57,,Kompor Gas,2 Mata,G,2, -,Di luar Lemari , -, -
,58,,Panci Steamer,5 liter,D,2, -,Di luar Lemari , -, -
,59,,Alat Ukur Tinggi Badan,200 cm,D,1, -,Di luar Lemari , -, -
,60,BPG 01,Timbangan Badan,Biasa,"D,F",2, -,Di luar Lemari , -, -
,,,,,,,,,,
,C. MEDIA PEMBELAJARA,,,,,,,,,
,,,,,,,,,,
,NOMOR,KODE,NAMA PERALATAN,SPESIFIKASI,SUMBER DANA,JUMLAH,,Lokasi Penyimpanan,,
,,,,,,BAIK,RUSAK,Lab,Gud,Lem
,1,BMD 44,Model mata manusia,Alat peraga,A,1,-,-,-,Lemari 6/1
,2,BMD 49,Model telinga,Alat peraga,B/C,2,-,-,-,Lemari 6/1
,3,BMD 59,Model jantung manusia,Alat peraga,A,1,-,-,-,Lemari 6/1
,4,BMD 81.01,Model hati,Alat peraga,B/C,2,-,-,-,Lemari 6/1
,5,BMD 81.03,Model lambung,Alat peraga,B,2,-,-,-,Lemari 6/1
,6,BMD 72,Model manusia ,Alat peraga,A,2,2,-,-,Atas Lemari 6
,7,BMD 81.04,Model lidah dan gigi,Alat peraga,B,1,-,-,-,Atas Lemari 6
,8,BMS 45. 17,Cardiac Musclec,Alat peraga,A,1,-,-,-,Atas Lemari 6
,9,BMD 05,Model hidung ,Alat peraga,B,1,-,-,-,Atas Lemari 6
,10,BMD 40,Model ginjal manusia,Alat peraga,A,1,-,-,-,Atas Lemari 6
,11,BMD 40,Model otak manusia,Alat peraga,A,1,-,-,-,Atas Lemari 6
,12,VCB 12,DNA dan RNA,Gbr. Dinding ,A,1,-,-,-,Lemari 9/1
,13,VCB 40.001,Sistem transportasi ,Set,A,1,-,-,-,Lemari 9/1
,14,VCB 40.002,Sistem pencernaan ,Set,A,1,-,-,-,Lemari 9/1
,15,VCB  40.005,Sistem koordinasi,Set,A,1,-,-,-,Lemari 9/1
,16,VCB 53. 02,Otot,Gbr. Dinding ,A,1,-,-,-,Lemari 9/1
,17,VCB 53. 03,Sistem saraf ,Gbr. Dinding ,A, -,1,-,-,Lemari 9/1
,18,VCB 53. 04 ,Peredaraan darah,Gbr. Dinding ,A,1,-,-,-,Lemari 9/1
,19,VCB 53. 05,Pencernan ,Gbr. Dinding ,A,1,-,-,-,Lemari 9/1
,20,VCB 53.06,Eskresi,Gbr. Dinding ,A,1,-,-,-,Lemari 9/1
,21,VCB 53.07,Pernapasan manusia,Gbr. Dinding ,A,1,-,-,-,Lemari 9/1
,22,VCB 53.01,Rangka Tubuh Manusia,Gbr. Dinding ,A,1,-,-,-,Lemari 9/1
,23,BMK 32.01,Lilium kotak sari,Profase awal ,A,10,-,-,-,Lemari 9/4
,24,BMK 32.02,Lilium kotak sari,Profase akhir,A,10,-,-,-,Lemari 9/4
,25,BMK 32.03,Lilium kotak sari,Metafase,A,10,-,-,-,Lemari 9/4
,26,BMK 32.04,Lilium kotak sari,Profase akhir,A,10,-,-,-,Lemari 9/4
,27,BMK 33.02,Jamur mucor,Preparat,A,10,-,-,-,Lemari 9/4
,28,BMK 33.01,Kotak spora paku,Preparat,A,10,-,-,-,Lemari 9/4
,29,BMK 33.03,Amuba ,Preparat,A,10,-,-,-,Lemari 9/4
,30,BMK 33.04,Hydra,Utuh ,A,10,-,-,-,Lemari 9/4
,31,BMS  33.05,Cacing hati,Dewasa utuh,A,10,-,-,-,Lemari 9/4
,32,BMS 33.06,Cacing hati,Larva,A,10,-,-,-,Lemari 9/4
,33,BMS 38.01,Polysiphonia,Preparat,A,10,-,-,-,Lemari 9/4
,34,BMS 38.03,Polysiphonia WM,Preparat,A,10,-,-,-,Lemari 9/4
,35,BMS 38.04,Helianthus sp,Akar mudah ,A,10,-,-,-,Lemari 9/4
,36,BMS 38.06,Zea mays ,Akar ,A,10,-,-,-,Lemari 9/4
,37,BMS 38.07,Zea mays ,Batang,A,10,-,-,-,Lemari 9/4
,38,BMS 38.08,Zea mays ,Daun ,A,10,-,-,-,Lemari 9/4
,39,BMS 38.09,Cucurbita,Batang ,A,10,-,-,-,Lemari 9/4
,40,BMS 38.11,Ficus,Daun ,A,10,-,-,-,Lemari 9/4
,41,BMS 38.12,Asparagus,Daun ,A,10,-,-,-,Lemari 9/4
,42,BMS 45. 01,Ribbone marrow,Daun ,A,10,-,-,-,Lemari 9/4
,43,BMS 45. 04,Otot lurik,Preparat,A,10,-,-,-,Lemari 9/4
,44,BMS 45. 05,Otot polos,Preparat,A,10,-,-,-,Lemari 9/4
,45,BMS 45. 07,Sel hati mamalia,Liver ,A,10,-,-,-,Lemari 9/4
,46,BMS 45. 09,Colom mamalia,Preparat,A,10,-,-,-,Lemari 9/4
,47,BMS 45. 10,Trachea mamalia,Preparat,A,10,-,-,-,Lemari 9/4
,48,BMS 45. 11,Kulit manusia,Preparat,A,10,-,-,-,Lemari 9/4
,49,BMS 45. 12,Kelenjar testis mamalia,Preparat,A,10,-,-,-,Lemari 9/4
,50,BMS 45. 13,Kelenjar ovarium mamalia,Preparat,A,10,-,-,-,Lemari 9/4
,51,BMS 45. 14,Adrenal glend,Preparat,A,10,-,-,-,Lemari 9/4
,52,BMS 45. 15,Ginjal ,Preparat,A,10,-,-,-,Lemari 9/4
,53,BMS 45. 16,Sel saraf ,Preparat,A,10,-,-,-,Lemari 9/4
,54,BMH 918,Model hidung dan lida,2 Dimensi,B/C,1, -,Luar Lamari,-,-
,55,BMH 921,Model mitosis,2 Dimensi,B/C,2,-,Luar Lamari,-,-
,56,BMH 922,Model meiosis,2 Dimensi,B/C,2,-,Luar Lamari,-,-
,57,BMM 81 / 13,Model perkembangan janin manusia,2 Dimensi,C,1,-,Luar Lamari,-,-
,58,BMD 80,Rangka Manusi,Medium,"A,B",1,2,Luar Lamari,-,-
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,"Pinrang, 3 september 2026",,,
,,Kepala LAB Biologi,,,,,Laboran LAB Biologi,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,"Rini Rahmayani Sjam,S.Pd, M., G",,,,,"Juni Aswati,S.Si",,,
,,                                      NIP. 19681231 199203 2 095,,,,,,,,
,,,,"Mengetahui,",,,,,,
,,,,PLT kepala sekolah UPT SMA NEGERI 1 PINRANG,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,"Maqbul, S. Ag., M.Pd",,,,,,
,,,,             NIP. 196908282003121005,,,,,,
